Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
1826319,WHOSIS_000001,COUNTRY,UKR,YEAR,EUR,Europe,SEX,SEX_FMLE,2014,,,,,,,76.1 [76.1-76.2],76.08664,76.05442,76.17763,,2024-08-02T09:43:39.193+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
1826666,WHOSIS_000001,REGION,EMR,YEAR,,,SEX,SEX_MLE,2015,,,,,,,67.3 [66.6-68.2],67.30537,66.59234,68.16266,,2024-08-02T09:43:39.193+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
1827402,WHOSIS_000001,COUNTRY,MRT,YEAR,AFR,Africa,SEX,SEX_FMLE,2005,,,,,,,65.9 [65.2-66.5],65.85142,65.24198,66.523,,2024-08-02T09:43:39.193+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
1828177,WHOSIS_000001,COUNTRY,AGO,YEAR,AFR,Africa,SEX,SEX_BTSX,2006,,,,,,,54.3 [53.2-55.2],54.27927,53.20532,55.22638,,2024-08-02T09:43:39.193+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
1828428,WHOSIS_000001,COUNTRY,TJK,YEAR,EUR,Europe,SEX,SEX_BTSX,2007,,,,,,,68.7 [68.2-69.3],68.67357,68.21283,69.26155,,2024-08-02T09:43:39.193+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
1829727,WHOSIS_000001,COUNTRY,KGZ,YEAR,EUR,Europe,SEX,SEX_BTSX,2010,,,,,,,69.2 [68.9-69.5],69.19156,68.90007,69.52152,,2024-08-02T09:43:39.193+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
832,WHOSIS_000001,COUNTRY,SOM,YEAR,EMR,Eastern Mediterranean,SEX,SEX_MLE,2008,,,,,,,48.0 [46.7-49.6],48.03754,46.71678,49.62846,,2024-08-02T09:43:39.193+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
1015,WHOSIS_000001,COUNTRY,BTN,YEAR,SEAR,South-East Asia,SEX,SEX_BTSX,2002,,,,,,,67.8 [67.1-68.6],67.84567,67.08312,68.55874,,2024-08-02T09:43:39.193+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
3441,WHOSIS_000001,COUNTRY,BHR,YEAR,EMR,Eastern Mediterranean,SEX,SEX_FMLE,2011,,,,,,,75.2 [75.1-75.4],75.20536,75.05048,75.38518,,2024-08-02T09:43:39.193+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
6585,WHOSIS_000001,COUNTRY,SAU,YEAR,EMR,Eastern Mediterranean,SEX,SEX_FMLE,2005,,,,,,,73.1 [72.8-73.5],73.12227,72.80645,73.47895,,2024-08-02T09:43:39.193+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
6834,WHOSIS_000001,COUNTRY,CYP,YEAR,EUR,Europe,SEX,SEX_MLE,2003,,,,,,,76.9 [76.7-77.2],76.86013,76.67124,77.16348,,2024-08-02T09:43:39.193+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
7143,WHOSIS_000001,COUNTRY,DNK,YEAR,EUR,Europe,SEX,SEX_MLE,2014,,,,,,,78.6 [78.6-78.7],78.61687,78.59348,78.70575,,2024-08-02T09:43:39.193+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
8386,WHOSIS_000001,COUNTRY,PHL,YEAR,WPR,Western Pacific,SEX,SEX_BTSX,2007,,,,,,,69.6 [69.3-70.0],69.58191,69.27042,69.99117,,2024-08-02T09:43:39.193+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
8913,WHOSIS_000001,COUNTRY,MAR,YEAR,EMR,Eastern Mediterranean,SEX,SEX_FMLE,2020,,,,,,,73.9 [73.3-74.4],73.86985,73.33215,74.427,,2024-08-02T09:43:39.193+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
9833,WHOSIS_000001,COUNTRY,WSM,YEAR,WPR,Western Pacific,SEX,SEX_FMLE,2004,,,,,,,72.1 [71.6-72.7],72.08096,71.56648,72.73082,,2024-08-02T09:43:39.193+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
11113,WHOSIS_000001,COUNTRY,JOR,YEAR,EMR,Eastern Mediterranean,SEX,SEX_MLE,2014,,,,,,,78.4 [78.0-78.9],78.39097,77.97735,78.89185,,2024-08-02T09:43:39.193+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
12415,WHOSIS_000001,COUNTRY,URY,YEAR,AMR,Americas,SEX,SEX_BTSX,2015,,,,,,,77.1 [77.1-77.2],77.09925,77.05356,77.20308,,2024-08-02T09:43:39.193+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
12418,WHOSIS_000001,COUNTRY,DNK,YEAR,EUR,Europe,SEX,SEX_FMLE,2020,,,,,,,83.2 [83.1-83.3],83.16167,83.13841,83.25734,,2024-08-02T09:43:39.193+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
12464,WHOSIS_000001,COUNTRY,PRI,YEAR,AMR,Americas,SEX,SEX_MLE,2020,,,,,,,76.1 [76.1-76.3],76.1409,76.05103,76.30636,,2024-08-02T09:43:39.193+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
13531,WHOSIS_000001,COUNTRY,GHA,YEAR,AFR,Africa,SEX,SEX_MLE,2005,,,,,,,58.3 [57.7-59.0],58.29583,57.73965,59.00903,,2024-08-02T09:43:39.193+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
14343,WHOSIS_000001,COUNTRY,TON,YEAR,WPR,Western Pacific,SEX,SEX_BTSX,2019,,,,,,,72.9 [72.4-73.6],72.94213,72.39304,73.64425,,2024-08-02T09:43:39.193+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
15883,WHOSIS_000001,COUNTRY,JOR,YEAR,EMR,Eastern Mediterranean,SEX,SEX_FMLE,2009,,,,,,,76.6 [76.2-76.9],76.55739,76.24833,76.90902,,2024-08-02T09:43:39.193+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
16074,WHOSIS_000001,COUNTRY,TUR,YEAR,EUR,Europe,SEX,SEX_MLE,2012,,,,,,,73.8 [73.4-74.2],73.77355,73.3527,74.18742,,2024-08-02T09:43:39.193+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
16904,WHOSIS_000001,COUNTRY,BRA,YEAR,AMR,Americas,SEX,SEX_BTSX,2003,,,,,,,72.3 [72.0-72.6],72.30491,72.02894,72.58864,,2024-08-02T09:43:39.193+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
16991,WHOSIS_000001,COUNTRY,FJI,YEAR,WPR,Western Pacific,SEX,SEX_BTSX,2006,,,,,,,67.1 [66.8-67.4],67.0807,66.83476,67.36102,,2024-08-02T09:43:39.193+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
17826,WHOSIS_000001,COUNTRY,NIC,YEAR,AMR,Americas,SEX,SEX_MLE,2020,,,,,,,71.7 [71.4-72.1],71.71241,71.3989,72.07787,,2024-08-02T09:43:39.193+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
18763,WHOSIS_000001,COUNTRY,IRQ,YEAR,EMR,Eastern Mediterranean,SEX,SEX_MLE,2003,,,,,,,65.7 [64.9-66.6],65.68954,64.89439,66.62662,,2024-08-02T09:43:39.193+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
19939,WHOSIS_000001,COUNTRY,BGD,YEAR,SEAR,South-East Asia,SEX,SEX_MLE,2017,,,,,,,72.1 [71.5-72.9],72.08322,71.46217,72.8917,,2024-08-02T09:43:39.193+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
20109,WHOSIS_000001,COUNTRY,TON,YEAR,WPR,Western Pacific,SEX,SEX_BTSX,2016,,,,,,,72.6 [71.9-73.2],72.56033,71.92826,73.19726,,2024-08-02T09:43:39.193+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
20142,WHOSIS_000001,COUNTRY,SWE,YEAR,EUR,Europe,SEX,SEX_MLE,2016,,,,,,,80.4 [80.4-80.4],80.36714,80.36303,80.44719,,2024-08-02T09:43:39.193+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
20976,WHOSIS_000001,GLOBAL,GLOBAL,YEAR,,,SEX,SEX_BTSX,2015,,,,,,,72.2 [71.7-72.7],72.18569,71.71226,72.66886,,2024-08-02T09:43:39.193+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
21907,WHOSIS_000001,COUNTRY,AUS,YEAR,WPR,Western Pacific,SEX,SEX_BTSX,2006,,,,,,,81.0 [81.0-81.1],81.04245,81.03701,81.11609,,2024-08-02T09:43:39.193+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
22147,WHOSIS_000001,COUNTRY,ISL,YEAR,EUR,Europe,SEX,SEX_BTSX,2005,,,,,,,80.9 [80.8-81.1],80.90304,80.80184,81.10646,,2024-08-02T09:43:39.193+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
